Name	Position	Nationality	Scrabble Score
Florin Gardos	Defender	Romania	17
Connor Goldson	Defender	England	17
Idrissa Gueye	Midfielder	Senegal	17
Joe Hart	Goalkeeper	England	17
Hélder Costa	Midfielder	Portugal	17
Rob Holding	Defender	England	17
Carl Ikeme	Goalkeeper	Nigeria	17
Mattias Kait	Midfielder	Estonia	17
Kevin Long	Defender	Ireland	17
Jonas Lössl	Goalkeeper	Denmark	17
Chris Löwe	Defender	Germany	17
Gary Madine	Forward	England	17
Marc Guehi	Defender	England	17
Cuco Martina	Defender	Curacao	17
Brandon Mason	Defender	England	17
Juan Mata	Midfielder	Spain	17
Yerry Mina	Defender	Colombia	17
Tyrone Mings	Defender	England	17
Álvaro Morata	Forward	Spain	17
Alberto Moreno	Defender	Spain	17
Glenn Murray	Forward	England	17
Ahmed Musa	Forward	Nigeria	17
Mark Noble	Midfielder	England	17
Magnus Norman	Goalkeeper	England	17
Pedro Obiang	Midfielder	Equatorial Guinea	17
Angelo Ogbonna	Defender	Italy	17
Pedro Pereira	Midfielder	Portugal	17
Erdal Rakip	Midfielder	Sweden	17
Ryan Sessegnon	Midfielder	England	17
Henri Saivet	Midfielder	Senegal	17
Brad Smith	Defender	Australia	17
Son Heung-Min	Forward	South Korea	17
Ben Stevenson	Midfielder	England	17
Sam Vokes	Forward	Wales	17
Daniel Agyei	Forward	England	16
Nathan Aké	Defender	Netherlands	16
Ali Koiki	Defender	England	16
Marcos Alonso	Defender	Spain	16
Florin Andone	Forward	Romania	16
Billy Arce	Midfielder	Ecuador	16
Harry Arter	Midfielder	Ireland	16
Ryan Babel	Midfielder	Netherlands	16
Luke Bolton	Midfielder	England	16
Luca De La Torre	Midfielder	United States	16
Callum Elder	Defender	Australia	16
Ryan Fraser	Midfielder	Scotland	16
Karlan Grant	Forward	England	16
Pascal Groß	Midfielder	Germany	16
Dion Henry	Goalkeeper	England	16
Ander Herrera	Midfielder	Spain	16
Tomas Kalas	Defender	Czech Republic	16
Erik Lamela	Midfielder	Argentina	16
Dean Marney	Midfielder	England	16
Steve Mounie	Forward	Benin	16
Lewis O'Brien	Midfielder	England	16
Paul Pogba	Midfielder	France	16
Aaron Ramsdale	Goalkeeper	England	16
Aaron Ramsey	Midfielder	Wales	16
Connor Randall	Defender	England	16
Harrison Reed	Midfielder	England	16
Richarlison	Forward	Brazil	16
Salomón Rondón	Forward	Venezuela	16
Antonio Rüdiger	Defender	Germany	16
Islam Slimani	Forward	Algeria	16
Carl Stewart	Midfielder	England	16
Ben White	Defender	England	16
Ben Wilmot	Defender	England	16
Adrien Silva	Midfielder	Portugal	15
Paulo Alves	Midfielder	Portugal	15
Oskar Buur	Defender	Denmark	15
Will Collar	Midfielder	England	15
Loïc Damour	Midfielder	France	15
Tom Davies	Midfielder	England	15
Erik Durm	Defender	Germany	15
Fabinho	Midfielder	Brazil	15
Eric Garcia	Defender	Spain	15
Aron Gunnarsson	Midfielder	Iceland	15
Ben Hamer	Goalkeeper	England	15
Jonny	Defender	Spain	15
N'Golo Kanté	Midfielder	France	15
Loris Karius	Goalkeeper	Germany	15
Ryan Kent	Midfielder	England	15
Mario Lemina	Midfielder	Gabon	15
Scott Malone	Defender	England	15
Adam Masina	Defender	Italy	15
Wes Morgan	Defender	Jamaica	15
Lys Mousset	Forward	France	15
Didier Ndong	Midfielder	Gabon	15
Matt O'Riley	Midfielder	England	15
Joe Ralls	Midfielder	England	15
Winston Reid	Defender	New Zealand	15
Declan Rice	Defender	England	15
Sergio Romero	Goalkeeper	Argentina	15
Rúben Neves	Midfielder	Portugal	15
Rui Patrício	Goalkeeper	Portugal	15
Stuart Taylor	Goalkeeper	England	15
Sam Surridge	Forward	England	15
Percy Tau	Forward	South Africa	15
Lucas Torreira	Midfielder	Uruguay	15
Cenk Tosun	Forward	Turkey	15
Yaya Touré	Midfielder	Cote D'Ivoire	15
Armand Traore	Defender	Senegal	15
Rolando Aarons	Midfielder	England	14
Sergio Agüero	Forward	Argentina	14
Luke Amos	Midfielder	England	14
Tom Anderson	Defender	England	14
André Gomes	Midfielder	Portugal	14
Leon Balogun	Defender	Nigeria	14
Tudor Baluta	Defender	Romania	14
Omar Bogle	Forward	England	14
Gaëtan Bong	Defender	Cameroon	14
Artur Boruc	Goalkeeper	Poland	14
Lewis Cass	Defender	England	14
Danny Ings	Forward	England	14
Lucas Digne	Defender	France	14
Robert Elliot	Goalkeeper	Ireland	14
Ben Foster	Goalkeeper	England	14
Ben Gibson	Defender	England	14
Paul Gladon	Forward	Netherlands	14
Robert Green	Goalkeeper	England	14
Tom Heaton	Goalkeeper	England	14
Rohan Ince	Midfielder	England	14
Kenedy	Midfielder	Brazil	14
Adam Lallana	Midfielder	England	14
Hugo Lloris	Goalkeeper	France	14
Lucas Moura	Midfielder	Brazil	14
Lucas Perri	Goalkeeper	Brazil	14
Aaron Mooy	Midfielder	Australia	14
Sean Morrison	Defender	England	14
Obbi Oularé	Forward	Belgium	14
Liam Rosenior	Defender	England	14
Emiliano Sala	Forward	Argentina	14
Sean Scannell	Midfielder	Ireland	14
Sol Bamba	Defender	Cote D'Ivoire	14
Pape Souaré	Defender	Senegal	14
Dusan Tadic	Forward	Serbia	14
Matt Targett	Defender	England	14
Nathan Trott	Goalkeeper	England	14
Leonardo Ulloa	Forward	Argentina	14
Sam Woods	Defender	England	14
Lee Camp	Goalkeeper	Northern Ireland	13
Diogo Dalot	Defender	Portugal	13
Dan Gosling	Midfielder	England	13
Ryan Inniss	Defender	England	13
Joselu	Forward	Spain	13
Tim Krul	Goalkeeper	Netherlands	13
Léo Bonatini	Forward	Brazil	13
Oumar Niasse	Forward	Senegal	13
Will Norris	Goalkeeper	England	13
Leo Ostigard	Defender	Norway	13
Diego Rico	Defender	Spain	13
Connor Ronan	Midfielder	Ireland	13
Danny Rose	Defender	England	13
Romain Saïss	Midfielder	Morocco	13
Ken Sema	Midfielder	Sweden	13
Elliot Watt	Midfielder	Scotland	13
Serge Aurier	Defender	Cote D'Ivoire	12
Scott Dann	Defender	England	12
Bernd Leno	Goalkeeper	Germany	12
Sadio Mané	Forward	Senegal	12
Samir Nasri	Midfielder	France	12
Aiden O'Neill	Midfielder	Australia	12
Oriol Romeu	Midfielder	Spain	12
Lee Peltier	Defender	England	12
Rafa Mir	Forward	Spain	12
Aaron Rowe	Midfielder	England	12
Mat Ryan	Goalkeeper	Australia	12
Leroy Sané	Forward	Germany	12
Sokratis	Defender	Greece	12
Tayo Edun	Midfielder	England	12
Bernardo	Defender	Brazil	11
Emre Can	Midfielder	Germany	11
Eric Dier	Midfielder	England	11
Issa Diop	Defender	France	11
Angus Gunn	Goalkeeper	England	11
Aaron Lennon	Midfielder	England	11
Reiss Nelson	Forward	England	11
Denis Odoi	Defender	Belgium	11
Tim Ream	Defender	United States	11
Rui Fonte	Forward	Portugal	11
Lee Tomlin	Forward	England	11
Bernard	Midfielder	Brazil	10
Dan Burn	Defender	England	10
Niall Ennis	Forward	England	10
Fabri	Goalkeeper	Spain	10
Ben Mee	Defender	England	10
Willian	Forward	Brazil	10
Dele Alli	Midfielder	England	9
Eduardo	Goalkeeper	Portugal	9
Emerson	Defender	Italy	9
Ederson	Goalkeeper	Brazil	8
Fred	Midfielder	Brazil	8
Pedro	Forward	Spain	8
Adrián	Goalkeeper	Spain	7
Alisson	Goalkeeper	Brazil	7
Bruno	Defender	Spain	7
Danilo	Defender	Brazil	7
Ola Aina	Defender	Nigeria	7
Pote	Midfielder	Portugal	6
