Name	Position	Nationality	Scrabble Score
Christian Kabasele	Defender	Belgium	28
Orestis Karnezis	Goalkeeper	Greece	28
Josh Knight	Defender	England	28
Chancel Mbemba	Defender	The Democratic Republic Of Congo	28
Shkodran Mustafi	Defender	Germany	28
Michael Obafemi	Forward	Ireland	28
Erik Palmer-Brown	Defender	United States	28
Matthew Pennington	Defender	England	28
Alex Pritchard	Midfielder	England	28
Jack Simpson	Defender	England	28
Maarten Stekelenburg	Goalkeeper	Netherlands	28
Japhet Tanganga	Defender	England	28
Jared Thompson	Goalkeeper	England	28
Jonathan Walters	Forward	Ireland	28
Yanic Wildschut	Forward	Netherlands	28
Pablo Zabaleta	Defender	Argentina	28
Abdul Rahman Baba	Defender	Ghana	27
Christian Benteke	Forward	Belgium	27
Joel Campbell	Forward	Costa Rica	27
Jack Cork	Midfielder	England	27
Brahim Díaz	Midfielder	Spain	27
Freddy Woodman	Goalkeeper	England	27
Ryan Fredericks	Defender	England	27
Christian Fuchs	Defender	Austria	27
Ryan John Giles	Midfielder	England	27
Frédéric Gounongbe	Forward	Benin	27
Marko Grujic	Midfielder	Serbia	27
Jordan Henderson	Midfielder	England	27
Jonathan Hogg	Midfielder	England	27
Brad Jackson	Midfielder	England	27
Stefan Johansen	Midfielder	Norway	27
Jordan Williams	Defender	England	27
Vashon Neufville	Defender	England	27
Phil Ofosu-Ayeh	Defender	Ghana	27
Jack Payne	Midfielder	England	27
Nathaniel Phillips	Defender	England	27
Jason Puncheon	Midfielder	England	27
Abdelhamid Sabiri	Midfielder	Germany	27
Morgan Schneiderlin	Midfielder	France	27
Alexander Sørloth	Forward	Norway	27
James Tomkins	Defender	England	27
Jan Vertonghen	Defender	Belgium	27
Danny Welbeck	Forward	England	27
Ashley Westwood	Midfielder	England	27
Tammy Abraham	Forward	England	26
Toby Alderweireld	Defender	Belgium	26
Marko Arnautovic	Forward	Austria	26
Benny Ashley-Seal	Forward	England	26
Joshua Bohui	Forward	England	26
Jamie Bowden	Midfielder	England	26
Calum Chambers	Defender	England	26
Pedro Chirivella	Midfielder	Spain	26
Kevin De Bruyne	Midfielder	Belgium	26
Leander Dendoncker	Midfielder	Belgium	26
Abdoulaye Doucouré	Midfielder	France	26
Martin Dubravka	Goalkeeper	Slovakia	26
Demeaco Duhaney	Defender	England	26
Rarmani Edmonds-Green	Defender	England	26
Michael Folivi	Forward	England	26
Jordan Graham	Midfielder	England	26
Michael Hefele	Defender	Germany	26
Wayne Hennessey	Goalkeeper	Wales	26
Vincent Janssen	Forward	Netherlands	26
Carl Jenkinson	Defender	England	26
Joe Willock	Midfielder	England	26
George Johnston	Defender	England	26
Matej Kovar	Goalkeeper	Czech Republic	26
Jamaal Lascelles	Defender	England	26
Adam Legzdins	Goalkeeper	England	26
James Maddison	Midfielder	England	26
Ainsley Maitland-Niles	Midfielder	England	26
Isaac Mbenza	Midfielder	Belgium	26
Kevin McDonald	Midfielder	Scotland	26
George McEachran	Midfielder	England	26
Nampalys Mendy	Midfielder	France	26
Jordon Mutch	Midfielder	England	26
Mikael Ndjoli	Forward	England	26
Håvard Nordtveit	Defender	Norway	26
Henry Onyekuru	Forward	Nigeria	26
Domingos Quina	Midfielder	Portugal	26
Jairo Riedewald	Defender	Netherlands	26
Shani Tarashaj	Forward	Switzerland	26
Jamie Vardy	Forward	England	26
Matej Vydra	Forward	Czech Republic	26
Victor Wanyama	Midfielder	Kenya	26
Granit Xhaka	Midfielder	Switzerland	26
Chuba Akpom	Forward	England	25
Jan Bednarek	Defender	Poland	25
Yannick Bolasie	Forward	The Democratic Republic Of Congo	25
Nathan Broadhead	Midfielder	Wales	25
Harry Burgoyne	Goalkeeper	England	25
Rafael Camacho	Midfielder	Portugal	25
Jermain Defoe	Forward	England	25
Daniel Drinkwater	Midfielder	England	25
Christian Eriksen	Midfielder	Denmark	25
Timothy Eyoma	Defender	England	25
Edimilson Fernandes	Midfielder	Switzerland	25
Juan Foyth	Defender	Argentina	25
Brendan Galloway	Defender	England	25
Benjamin Garre	Midfielder	England	25
Michael Hector	Defender	Jamaica	25
Callum Hudson-Odoi	Forward	England	25
Emerson Hyndman	Midfielder	United States	25
Daryl Janmaat	Defender	Netherlands	25
Darnell Johnson	Defender	England	25
Josh Da Silva	Midfielder	England	25
Joshua King	Forward	Norway	25
Laurent Koscielny	Defender	France	25
Mateo Kovacic	Midfielder	Croatia	25
Dodi Lukebakio	Forward	Belgium	25
Nemanja Matic	Midfielder	Serbia	25
Sam McQueen	Midfielder	England	25
Scott McTominay	Midfielder	Scotland	25
Chris Mepham	Defender	Wales	25
Demetri Mitchell	Defender	England	25
Joy Mukena	Defender	England	25
Josh Onomah	Midfielder	England	25
Jérémy Pied	Defender	France	25
Christian Pulisic	Midfielder	United States	25
Sandro Ramírez	Forward	Spain	25
Marcus Rashford	Forward	England	25
Roderick Miranda	Defender	Portugal	25
Philippe Sandler	Defender	Netherlands	25
Ryan Schofield	Goalkeeper	England	25
Jerome Sinclair	Forward	England	25
Jiri Skalak	Midfielder	Czech Republic	25
Ashley Williams	Defender	Wales	25
Cauley Woodrow	Forward	England	25
Marc Albrighton	Midfielder	England	24
Jordan Ayew	Forward	Ghana	24
Daniel Bachmann	Goalkeeper	Austria	24
Muhamed Besic	Midfielder	Bosnia And Herzegovina	24
Willy Caballero	Goalkeeper	Argentina	24
Yohan Cabaye	Midfielder	France	24
Charly Musonda	Midfielder	Belgium	24
Andreas Christensen	Defender	Denmark	24
Jordy Clasie	Midfielder	Netherlands	24
Cameron Coxe	Defender	Wales	24
Greg Cunningham	Defender	Ireland	24
Sylvain Deslandes	Defender	France	24
Marcelo Djaló	Defender	Guinea-Bissau	24
Manolo Gabbiadini	Forward	Italy	24
Daniel Grimshaw	Goalkeeper	England	24
Eden Hazard	Forward	Belgium	24
Jordan Hugill	Forward	England	24
Matty James	Midfielder	England	24
João Moutinho	Midfielder	Portugal	24
Sam Johnstone	Goalkeeper	England	24
Neeskens Kebano	Defender	The Democratic Republic Of Congo	24
Kiko Femenía	Defender	Spain	24
Max Kilman	Defender	England	24
Manuel Lanzini	Midfielder	Argentina	24
Shayne Lavery	Forward	Northern Ireland	24
Florian Lejeune	Defender	France	24
Jürgen Locadia	Forward	Netherlands	24
Matthew Lowton	Defender	England	24
Lucas Piazon	Midfielder	Brazil	24
Ntumba Massanka	Midfielder	England	24
Dwight McNeil	Forward	England	24
Per Mertesacker	Defender	Germany	24
Matt Miazga	Defender	United States	24
Mohamed Elneny	Midfielder	Egypt	24
Arijanet Muric	Goalkeeper	Kosovo	24
